,cohort_year,division,division_name,students_in_cohort,graduation_rate,dropout_rate,income_per_capita,prev_year_teacher_salary,curr_year_teacher_salary,teacher_salary_diff
0,2008,1,Accomack County,523,65.58%,27.34%,32062.0,39131.0,39973.0,2.15
1,2008,2,Albemarle County,1012,87.94%,7.02%,51484.0,47688.0,49580.0,3.97
2,2008,3,Alleghany County,238,82.35%,13.03%,31590.0,43123.0,44095.0,2.26
3,2008,4,Amelia County,165,81.21%,11.52%,33334.0,30446.0,40442.0,32.83
4,2008,5,Amherst County,435,80.92%,10.11%,29593.0,39705.0,41935.0,5.62
5,2008,6,Appomattox County,180,83.33%,9.44%,30632.0,37296.0,38755.0,3.91
6,2008,7,Arlington County,1190,82.52%,12.52%,77678.0,65790.0,64447.0,-2.04
7,2008,8,Augusta County,927,84.79%,12.41%,,41286.0,43075.0,4.33
8,2008,9,Bath County,52,96.15%,1.92%,37482.0,41562.0,42259.0,1.68
9,2008,10,Bedford County,867,87.77%,5.88%,36501.0,37300.0,39694.0,6.42
10,2008,11,Bland County,55,83.64%,9.09%,26818.0,35402.0,37863.0,6.95
11,2008,12,Botetourt County,409,88.02%,3.91%,40243.0,45390.0,46561.0,2.58
12,2008,13,Brunswick County,190,64.21%,24.74%,26057.0,38261.0,37843.0,-1.09
13,2008,14,Buchanan County,284,83.45%,10.92%,29324.0,37151.0,38686.0,4.13
14,2008,15,Buckingham County,214,69.16%,22.90%,23606.0,37526.0,39827.0,6.13
15,2008,16,Campbell County,760,76.97%,11.97%,31717.0,39663.0,41324.0,4.19
16,2008,17,Caroline County,310,75.16%,11.61%,33535.0,41935.0,43807.0,4.46
17,2008,18,Carroll County,338,81.36%,11.24%,27602.0,36885.0,37024.0,0.38
18,2008,19,Charles City County,73,89.04%,9.59%,32972.0,39530.0,40530.0,2.53
19,2008,20,Charlotte County,205,84.39%,5.85%,,39042.0,40530.0,3.81
20,2008,21,Chesterfield County,4797,84.72%,11.82%,43623.0,44417.0,46486.0,4.66
21,2008,22,Clarke County,170,90.00%,7.65%,48673.0,45817.0,46433.0,1.34
22,2008,23,Craig County,60,78.33%,13.33%,29252.0,40621.0,43279.0,6.54
23,2008,24,Culpeper County,610,81.15%,10.00%,36254.0,41405.0,44565.0,7.63
24,2008,25,Cumberland County,110,82.73%,12.73%,27534.0,39380.0,39714.0,0.85
25,2008,26,Dickenson County,227,87.67%,7.49%,25845.0,35742.0,37146.0,3.93
26,2008,27,Dinwiddie County,414,68.36%,15.22%,,42866.0,44461.0,3.72
27,2008,28,Essex County,137,81.75%,5.84%,34095.0,42583.0,44821.0,5.26
28,2008,29,Fairfax County,12467,91.19%,6.08%,,58389.0,60593.0,3.77
29,2008,30,Fauquier County,925,86.92%,5.51%,55475.0,49595.0,53055.0,6.98
30,2008,31,Floyd County,178,83.15%,11.80%,29005.0,39871.0,41891.0,5.07
31,2008,32,Fluvanna County,291,90.03%,6.53%,34611.0,46405.0,49313.0,6.27
32,2008,34,Frederick County,1069,83.35%,7.11%,39057.0,42960.0,45481.0,5.87
33,2008,35,Giles County,230,77.39%,14.78%,30351.0,38871.0,39804.0,2.4
34,2008,36,Gloucester County,509,78.59%,9.23%,40206.0,42925.0,44543.0,3.77
35,2008,37,Goochland County,220,80.91%,7.73%,69605.0,41778.0,42544.0,1.83
36,2008,38,Grayson County,203,83.74%,9.36%,26014.0,34470.0,36708.0,6.49
37,2008,39,Greene County,224,82.59%,11.61%,32492.0,37478.0,39212.0,4.63
38,2008,40,Greensville County,228,81.58%,14.04%,26044.0,42113.0,42103.0,-0.02
39,2008,41,Halifax County,433,81.99%,6.00%,28286.0,38104.0,39665.0,4.1
40,2008,42,Hanover County,1548,91.73%,4.33%,45317.0,42733.0,44609.0,4.39
41,2008,43,Henrico County,3899,81.97%,9.36%,47962.0,45085.0,46833.0,3.88
42,2008,44,Henry County,691,75.25%,16.21%,29638.0,37720.0,38302.0,1.54
43,2008,45,Highland County,26,96.15%,.00%,31340.0,37795.0,41206.0,9.03
44,2008,46,Isle of Wight County,460,80.43%,17.17%,44430.0,41298.0,45989.0,11.36
45,2008,48,King George County,298,88.26%,9.06%,42910.0,42217.0,44936.0,6.44
46,2008,49,King and Queen County,58,60.34%,31.03%,33067.0,38803.0,40744.0,5.0
47,2008,50,King William County,161,92.55%,6.83%,38325.0,42664.0,42471.0,-0.45
48,2008,51,Lancaster County,125,88.00%,5.60%,46008.0,39156.0,42559.0,8.69
49,2008,52,Lee County,304,64.47%,29.61%,25031.0,40620.0,41701.0,2.66
50,2008,53,Loudoun County,3421,93.57%,3.71%,62953.0,59819.0,60476.0,1.1
51,2008,54,Louisa County,365,81.92%,14.25%,35294.0,39010.0,47347.0,21.37
52,2008,55,Lunenburg County,152,74.34%,21.71%,24944.0,40309.0,42647.0,5.8
53,2008,56,Madison County,188,84.04%,8.51%,32892.0,40495.0,42577.0,5.14
54,2008,57,Mathews County,102,87.25%,3.92%,45413.0,38693.0,41041.0,6.07
55,2008,58,Mecklenburg County,399,82.46%,15.79%,27922.0,38429.0,40432.0,5.21
56,2008,59,Middlesex County,117,82.91%,10.26%,39181.0,37404.0,38979.0,4.21
57,2008,60,Montgomery County,816,80.27%,13.11%,28151.0,40330.0,42182.0,4.59
58,2008,62,Nelson County,186,80.11%,5.91%,35810.0,40848.0,42627.0,4.35
