,cohort_year,division,division_name,students_in_cohort,graduation_rate,dropout_rate,income_per_capita,population,population_increase,rental_price,rental_increase,prev_year_teacher_salary,curr_year_teacher_salary,teacher_salary_diff
0,2008,1,Accomack County,523,65.58%,27.34%,32062.0,37891.0,-0.8179981328285235,842.0,6.58227848101265,39131.0,39973.0,2.15
1,2008,2,Albemarle County,1012,87.94%,7.02%,51484.0,86092.0,1.6582528325908896,1215.0,6.95422535211268,47688.0,49580.0,3.97
2,2008,3,Alleghany County,238,82.35%,13.03%,31590.0,16539.0,-3.819519730813004,678.0,6.60377358490567,43123.0,44095.0,2.26
3,2008,4,Amelia County,165,81.21%,11.52%,33334.0,11439.0,-0.2291267567776422,1386.0,10.4382470119522,30446.0,40442.0,32.83
4,2008,5,Amherst County,435,80.92%,10.11%,29593.0,31796.0,-0.2795077564408887,819.0,7.05882352941176,39705.0,41935.0,5.62
5,2008,6,Appomattox County,180,83.33%,9.44%,30632.0,13668.0,-0.1963215271294838,819.0,7.05882352941176,37296.0,38755.0,3.91
6,2008,7,Arlington County,1190,82.52%,12.52%,77678.0,191169.0,0.954768025266084,2235.0,2.94795025333947,65790.0,64447.0,-2.04
7,2008,8,Augusta County,927,84.79%,12.41%,,66085.0,0.3744712859446997,1031.0,6.61840744570839,41286.0,43075.0,4.33
8,2008,9,Bath County,52,96.15%,1.92%,37482.0,5007.0,-0.6032635819634979,986.0,6.82556879739977,41562.0,42259.0,1.68
9,2008,10,Bedford County,867,87.77%,5.88%,36501.0,61132.0,0.8031704081687296,819.0,7.05882352941176,37300.0,39694.0,6.42
10,2008,11,Bland County,55,83.64%,9.09%,26818.0,6895.0,0.7451215296205849,758.0,6.61040787623066,35402.0,37863.0,6.95
11,2008,12,Botetourt County,409,88.02%,3.91%,40243.0,30494.0,-0.2598382748810857,909.0,7.06713780918729,45390.0,46561.0,2.58
12,2008,13,Brunswick County,190,64.21%,24.74%,26057.0,18319.0,-0.5446665485389524,958.0,6.91964285714286,38261.0,37843.0,-1.09
