Unnamed: 0,Cohort Year,Students in Cohort,Division,Division Name,Graduation Rate,Dropout Rate,Prev_year_salary,Curr_year_salary,salary_diff,FY 2006 to FY 2007 Percent Increase/ (Decrease),FY 2007 to FY 2008 Percent Increase/ (Decrease),Index,Mean Income,FY 2013 to FY 2014 Percent Increase/ (Decrease),FY 2012 to FY 2013 Percent Increase/ (Decrease),FY 2014 to FY 2015 Percent Increase/ (Decrease),FY 2011 to FY 2012 Percent Increase/ (Decrease),FY 2010 to FY 2011 Percent Increase/ (Decrease),FY 2008 to FY 2009 Percent Increase/ (Decrease),FY 2009 to FY 2010 Percent Increase/ (Decrease),cohort_year,division,division_name,graduation_rate,dropout_rate,income_per_capita
0.0,2008.0,523,1.0,Accomack County,65.58%,27.34%,32062.0,39131.0,39973.0,2.15,,,,,,,,,,,,,,,,
1.0,2008.0,"1,012",2.0,Albemarle County,87.94%,7.02%,51484.0,47688.0,49580.0,3.97,,,,,,,,,,,,,,,,
2.0,2008.0,238,3.0,Alleghany County,82.35%,13.03%,31590.0,43123.0,44095.0,2.26,,,,,,,,,,,,,,,,
3.0,2008.0,165,4.0,Amelia County,81.21%,11.52%,33334.0,30446.0,40442.0,32.83,,,,,,,,,,,,,,,,
4.0,2008.0,435,5.0,Amherst County,80.92%,10.11%,29593.0,39705.0,41935.0,5.62,,,,,,,,,,,,,,,,
5.0,2008.0,180,6.0,Appomattox County,83.33%,9.44%,30632.0,37296.0,38755.0,3.91,,,,,,,,,,,,,,,,
6.0,2008.0,"1,190",7.0,Arlington County,82.52%,12.52%,77678.0,65790.0,64447.0,-2.04,,,,,,,,,,,,,,,,
7.0,2008.0,927,8.0,Augusta County,84.79%,12.41%,,41286.0,43075.0,4.33,,,,,,,,,,,,,,,,
8.0,2008.0,52,9.0,Bath County,96.15%,1.92%,37482.0,41562.0,42259.0,1.68,,,,,,,,,,,,,,,,
9.0,2008.0,867,10.0,Bedford County,87.77%,5.88%,36501.0,37300.0,39694.0,6.42,,,,,,,,,,,,,,,,
10.0,2008.0,55,11.0,Bland County,83.64%,9.09%,26818.0,35402.0,37863.0,6.95,,,,,,,,,,,,,,,,
11.0,2008.0,409,12.0,Botetourt County,88.02%,3.91%,40243.0,45390.0,46561.0,2.58,,,,,,,,,,,,,,,,
12.0,2008.0,190,13.0,Brunswick County,64.21%,24.74%,26057.0,38261.0,37843.0,-1.09,,,,,,,,,,,,,,,,
13.0,2008.0,284,14.0,Buchanan County,83.45%,10.92%,29324.0,37151.0,38686.0,4.13,,,,,,,,,,,,,,,,
14.0,2008.0,214,15.0,Buckingham County,69.16%,22.90%,23606.0,37526.0,39827.0,6.13,,,,,,,,,,,,,,,,
