Virginia Department of Education,,,,,,,,,
2013-2014 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2012 
Actual Average Teacher Salary","FY 2013 
Actual Average Teacher Salary",FY 2012 to FY 2013 Percent Increase/ (Decrease),"FY 2014 
Budgeted Average Teacher Salary",FY 2013 to FY 2014 Percent Increase/ (Decrease),,,
,,,,,,,,,
School Divisions,,,,,,,,,
Counties,,,,,,,,,
001,Accomack County Public Schools," 38,727 "," 40,596 ",4.83% ," 41,084 ",1.20% ,,,
002,Albemarle County Public Schools," 50,959 "," 53,521 ",5.03% ," 54,116 ",1.11% ,,,
003,Alleghany County Public Schools," 47,184 "," 48,254 ",2.27% ," 48,571 ",0.66% ,,,
004,Amelia County Public Schools," 45,581 "," 43,357 ",(4.88%)," 47,630 ",9.85% ,,,
005,Amherst County Public Schools," 43,609 "," 44,779 ",2.68% ," 45,622 ",1.88% ,,,
006,Appomattox County Public Schools," 40,133 "," 40,810 ",1.69% ," 40,730 ",(0.19%),,,
007,Arlington County Public Schools," 69,185 "," 73,626 ",6.42% ," 74,810 ",1.61% ,,,
008,Augusta County Public Schools," 43,669 "," 45,519 ",4.24% ," 45,815 ",0.65% ,,,
009,Bath County Public Schools," 43,288 "," 45,628 ",5.41% ," 46,514 ",1.94% ,,,
010,Bedford County Public Schools1," 41,599 "," 42,524 ",2.22% ," 43,957 ",3.37% ,,,
011,Bland County Public Schools," 42,225 "," 41,685 ",(1.28%)," 37,429 ",(10.21%),,,
012,Botetourt County Public Schools," 47,622 "," 48,866 ",2.61% ," 45,882 ",(6.11%),,,
013,Brunswick County Public Schools," 39,404 "," 41,333 ",4.90% ," 45,426 ",9.90% ,,,
014,Buchanan County Public Schools," 40,044 "," 38,468 ",(3.94%)," 33,811 ",(12.11%),,,
015,Buckingham County Public Schools," 40,797 "," 42,521 ",4.23% ," 51,876 ",22.00% ,,,
016,Campbell County Public Schools," 40,884 "," 41,998 ",2.73% ," 44,285 ",5.44% ,,,
017,Caroline County Public Schools," 42,523 "," 49,820 ",17.16% ," 51,400 ",3.17% ,,,
018,Carroll County Public Schools," 40,442 "," 42,644 ",5.44% ," 44,576 ",4.53% ,,,
019,Charles City County Public Schools," 40,408 "," 39,107 ",(3.22%)," 42,383 ",8.38% ,,,
020,Charlotte County Public Schools," 41,057 "," 43,874 ",6.86% ," 42,016 ",(4.23%),,,
021,Chesterfield County Public Schools," 47,273 "," 48,673 ",2.96% ," 49,279 ",1.25% ,,,
022,Clarke County Public Schools," 46,852 "," 50,808 ",8.44% ," 54,083 ",6.45% ,,,
023,Craig County Public Schools," 41,442 "," 41,255 ",(0.45%)," 42,081 ",2.00% ,,,
024,Culpeper County Public Schools," 47,252 "," 48,667 ",2.99% ," 49,312 ",1.33% ,,,
025,Cumberland County Public Schools," 44,634 "," 45,946 ",2.94% ," 45,038 ",(1.98%),,,
026,Dickenson County Public Schools," 42,123 "," 38,960 ",(7.51%)," 40,440 ",3.80% ,,,
027,Dinwiddie County Public Schools," 45,107 "," 47,078 ",4.37% ," 48,432 ",2.88% ,,,
028,Essex County Public Schools," 45,899 "," 47,325 ",3.11% ," 46,511 ",(1.72%),,,
029,Fairfax County Public Schools2," 63,203 "," 63,422 ",0.35% ," 65,461 ",3.22% ,,,
030,Fauquier County Public Schools," 54,975 "," 57,743 ",5.03% ," 53,224 ",(7.82%),,,
031,Floyd County Public Schools," 42,542 "," 43,044 ",1.18% ," 45,239 ",5.10% ,,,
032,Fluvanna County Public Schools," 50,376 "," 49,612 ",(1.52%)," 48,734 ",(1.77%),,,
033,Franklin County Public Schools," 43,895 "," 43,884 ",(0.02%)," 45,486 ",3.65% ,,,
034,Frederick County Public Schools," 47,490 "," 49,368 ",3.95% ," 51,272 ",3.86% ,,,
035,Giles County Public Schools," 38,340 "," 38,762 ",1.10% ," 39,023 ",0.67% ,,,
036,Gloucester County Public Schools," 46,108 "," 48,942 ",6.15% ," 50,048 ",2.26% ,,,
037,Goochland County Public Schools," 43,212 "," 45,314 ",4.86% ," 47,574 ",4.99% ,,,
038,Grayson County Public Schools," 36,507 "," 36,427 ",(0.22%)," 44,290 ",21.59% ,,,
039,Greene County Public Schools," 44,959 "," 44,158 ",(1.78%)," 45,107 ",2.15% ,,,
040,Greensville County Public Schools3," 44,913 "," 43,966 ",(2.11%)," 46,756 ",6.35% ,,,
041,Halifax County Public Schools," 41,869 "," 47,241 ",12.83% ," 43,028 ",(8.92%),,,
042,Hanover County Public Schools," 48,174 "," 48,557 ",0.80% ," 47,884 ",(1.39%),,,
043,Henrico County Public Schools," 51,723 "," 50,594 ",(2.18%)," 50,739 ",0.29% ,,,
044,Henry County Public Schools," 43,860 "," 44,655 ",1.81% ," 46,175 ",3.40% ,,,
045,Highland County Public Schools," 43,734 "," 45,120 ",3.17% ," 41,867 ",(7.21%),,,
046,Isle Of Wight County Public Schools," 53,025 "," 54,556 ",2.89% ," 54,653 ",0.18% ,,,
048,King George County Public Schools," 47,401 "," 45,465 ",(4.08%)," 44,096 ",(3.01%),,,
049,King And Queen County Public Schools," 48,784 "," 47,437 ",(2.76%)," 43,997 ",(7.25%),,,
050,King William County Public Schools," 46,382 "," 44,817 ",(3.38%)," 46,473 ",3.70% ,,,
051,Lancaster County Public Schools," 42,685 "," 44,682 ",4.68% ," 46,098 ",3.17% ,,,
052,Lee County Public Schools," 40,343 "," 38,138 ",(5.47%)," 38,802 ",1.74% ,,,
053,Loudoun County Public Schools," 60,646 "," 60,798 ",0.25% ," 62,930 ",3.51% ,,,
054,Louisa County Public Schools," 47,013 "," 47,144 ",0.28% ," 47,864 ",1.53% ,,,
055,Lunenburg County Public Schools," 47,668 "," 44,865 ",(5.88%)," 45,564 ",1.56% ,,,
056,Madison County Public Schools," 43,103 "," 44,429 ",3.08% ," 45,470 ",2.34% ,,,
057,Mathews County Public Schools," 40,404 "," 43,168 ",6.84% ," 44,494 ",3.07% ,,,
058,Mecklenburg County Public Schools," 48,805 "," 43,010 ",(11.87%)," 39,969 ",(7.07%),,,
059,Middlesex County Public Schools," 42,099 "," 43,217 ",2.66% ," 41,136 ",(4.81%),,,
060,Montgomery County Public Schools," 46,297 "," 45,504 ",(1.71%)," 48,076 ",5.65% ,,,
062,Nelson County Public Schools," 47,432 "," 48,124 ",1.46% ," 51,462 ",6.94% ,,,
063,New Kent County Public Schools," 46,128 "," 45,079 ",(2.27%)," 46,426 ",2.99% ,,,
065,Northampton County Public Schools," 36,962 "," 37,823 ",2.33% ," 38,381 ",1.48% ,,,
066,Northumberland County Public Schools," 48,748 "," 47,221 ",(3.13%)," 49,526 ",4.88% ,,,
067,Nottoway County Public Schools," 47,509 "," 47,575 ",0.14% ," 49,226 ",3.47% ,,,
068,Orange County Public Schools," 45,567 "," 48,980 ",7.49% ," 48,652 ",(0.67%),,,
069,Page County Public Schools," 41,014 "," 42,983 ",4.80% ," 51,756 ",20.41% ,,,
070,Patrick County Public Schools," 41,441 "," 42,543 ",2.66% ," 42,803 ",0.61% ,,,
071,Pittsylvania County Public Schools," 41,076 "," 42,260 ",2.88% ," 43,889 ",3.85% ,,,
072,Powhatan County Public Schools," 47,646 "," 49,789 ",4.50% ," 50,887 ",2.21% ,,,
073,Prince Edward County Public Schools," 44,127 "," 45,389 ",2.86% ," 45,982 ",1.31% ,,,
074,Prince George County Public Schools," 49,658 "," 49,469 ",(0.38%)," 51,963 ",5.04% ,,,
075,Prince William County Public Schools," 61,855 "," 61,863 ",0.01% ," 56,725 ",(8.30%),,,
077,Pulaski County Public Schools," 42,420 "," 43,784 ",3.22% ," 45,391 ",3.67% ,,,
078,Rappahannock County Public Schools," 45,941 "," 49,343 ",7.41% ," 49,058 ",(0.58%),,,
079,Richmond County Public Schools," 47,626 "," 49,492 ",3.92% ," 51,285 ",3.62% ,,,
080,Roanoke County Public Schools," 48,267 "," 50,886 ",5.43% ," 52,668 ",3.50% ,,,
081,Rockbridge County Public Schools," 45,216 "," 47,363 ",4.75% ," 48,404 ",2.20% ,,,
082,Rockingham County Public Schools," 45,039 "," 46,585 ",3.43% ," 48,214 ",3.50% ,,,
083,Russell County Public Schools," 36,271 "," 37,116 ",2.33% ," 38,606 ",4.02% ,,,
084,Scott County Public Schools," 45,582 "," 47,555 ",4.33% ," 47,589 ",0.07% ,,,
085,Shenandoah County Public Schools," 44,177 "," 46,751 ",5.83% ," 50,139 ",7.25% ,,,
086,Smyth County Public Schools," 43,590 "," 44,590 ",2.29% ," 42,886 ",(3.82%),,,
087,Southampton County Public Schools," 44,012 "," 43,509 ",(1.14%)," 45,329 ",4.18% ,,,
088,Spotsylvania County Public Schools," 51,373 "," 53,725 ",4.58% ," 52,936 ",(1.47%),,,
089,Stafford County Public Schools," 53,038 "," 50,864 ",(4.10%)," 50,858 ",(0.01%),,,
090,Surry County Public Schools," 50,020 "," 50,813 ",1.59% ," 42,217 ",(16.92%),,,
091,Sussex County Public Schools," 51,080 "," 51,839 ",1.49% ," 53,569 ",3.34% ,,,
092,Tazewell County Public Schools," 42,846 "," 42,062 ",(1.83%)," 41,828 ",(0.56%),,,
093,Warren County Public Schools," 45,096 "," 48,241 ",6.97% ," 47,285 ",(1.98%),,,
094,Washington County Public Schools," 44,205 "," 47,059 ",6.46% ," 47,953 ",1.90% ,,,
095,Westmoreland County Public Schools," 41,794 "," 44,363 ",6.15% ," 41,340 ",(6.82%),,,
096,Wise County Public Schools," 47,487 "," 45,692 ",(3.78%)," 44,843 ",(1.86%),,,
097,Wythe County Public Schools," 44,752 "," 46,890 ",4.78% ," 48,606 ",3.66% ,,,
098,York County Public Schools," 48,101 "," 48,310 ",0.43% ," 50,966 ",5.50% ,,,
Cities,,,,,,,,,
101,Alexandria City Public Schools," 70,696 "," 74,682 ",5.64% ," 70,294 ",(5.88%),,,
102,Bristol City Public Schools," 45,342 "," 46,660 ",2.91% ," 47,124 ",1.00% ,,,
