Virginia Department of Education,,,,,,,,,,,
2014-2015 Salary Survey - Teachers,,,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,,,
,,,,,,,,,,,
Division,Name,"FY 2013 
Actual Average Teacher Salary","FY 2014 
Actual Average Teacher Salary",FY 2013 to FY 2014 Percent Increase/ (Decrease),"FY 2015 
Budgeted Average Teacher Salary",FY 2014 to FY 2015 Percent Increase/ (Decrease),,,,,
,,,,,,,,,,,
School Divisions,,,,,,,,,,,
Counties,,,,,,,,,,,
001,Accomack County Public Schools," 40,596 ", Data not submitted by division. ,N/A, Data not submitted by division. ,N/A,,,,,
002,Albemarle County Public Schools," 53,521 "," 54,586 ",1.99% ," 55,312 ",1.33% ,,,,,
003,Alleghany County Public Schools," 48,254 "," 47,477 ",(1.61%)," 45,088 ",(5.03%),,,,,
004,Amelia County Public Schools," 43,357 "," 49,019 ",13.06% ," 45,049 ",(8.10%),,,,,
005,Amherst County Public Schools," 44,779 "," 45,527 ",1.67% ," 45,180 ",(0.76%),,,,,
006,Appomattox County Public Schools," 40,810 "," 39,904 ",(2.22%)," 40,366 ",1.16% ,,,,,
007,Arlington County Public Schools," 73,626 "," 73,846 ",0.30% ," 74,737 ",1.21% ,,,,,
008,Augusta County Public Schools," 45,519 "," 47,061 ",3.39% ," 46,801 ",(0.55%),,,,,
009,Bath County Public Schools," 45,628 "," 46,784 ",2.53% ," 47,686 ",1.93% ,,,,,
010,Bedford County Public Schools1," 42,524 "," 43,653 ",2.65% ," 43,502 ",(0.35%),,,,,
011,Bland County Public Schools," 41,685 "," 43,775 ",5.02% ," 43,476 ",(0.68%),,,,,
012,Botetourt County Public Schools," 48,866 "," 51,189 ",4.75% ," 50,589 ",(1.17%),,,,,
013,Brunswick County Public Schools," 41,333 "," 41,712 ",0.92% ," 41,178 ",(1.28%),,,,,
014,Buchanan County Public Schools," 38,468 "," 39,840 ",3.57% ," 39,257 ",(1.46%),,,,,
015,Buckingham County Public Schools," 42,521 "," 42,193 ",(0.77%)," 42,211 ",0.04% ,,,,,
016,Campbell County Public Schools," 41,998 "," 43,257 ",3.00% ," 44,547 ",2.98% ,,,,,
017,Caroline County Public Schools," 49,820 "," 47,144 ",(5.37%)," 48,527 ",2.93% ,,,,,
018,Carroll County Public Schools," 42,644 "," 44,042 ",3.28% ," 45,472 ",3.25% ,,,,,
019,Charles City County Public Schools," 39,107 "," 45,722 ",16.92% ," 45,729 ",0.02% ,,,,,
020,Charlotte County Public Schools," 43,874 "," 44,298 ",0.97% ," 44,574 ",0.62% ,,,,,
021,Chesterfield County Public Schools," 48,673 "," 50,087 ",2.90% ," 50,666 ",1.16% ,,,,,
022,Clarke County Public Schools," 50,808 "," 50,728 ",(0.16%)," 52,265 ",3.03% ,,,,,
023,Craig County Public Schools," 41,255 "," 45,277 ",9.75% ," 42,468 ",(6.20%),,,,,
024,Culpeper County Public Schools," 48,667 "," 48,769 ",0.21% ," 49,348 ",1.19% ,,,,,
025,Cumberland County Public Schools," 45,946 "," 48,069 ",4.62% ," 51,060 ",6.22% ,,,,,
026,Dickenson County Public Schools," 38,960 "," 38,948 ",(0.03%)," 40,755 ",4.64% ,,,,,
027,Dinwiddie County Public Schools," 47,078 "," 47,901 ",1.75% ," 45,625 ",(4.75%),,,,,
028,Essex County Public Schools," 47,325 "," 45,007 ",(4.90%)," 45,261 ",0.57% ,,,,,
029,Fairfax County Public Schools2," 63,422 "," 64,580 ",1.83% ," 67,623 ",4.71% ,,,,,
030,Fauquier County Public Schools," 57,743 "," 56,267 ",(2.56%)," 56,890 ",1.11% ,,,,,
031,Floyd County Public Schools," 43,044 "," 44,747 ",3.96% ," 45,410 ",1.48% ,,,,,
032,Fluvanna County Public Schools," 49,612 "," 50,524 ",1.84% ," 51,489 ",1.91% ,,,,,
033,Franklin County Public Schools," 43,884 "," 44,974 ",2.48% ," 45,360 ",0.86% ,,,,,
034,Frederick County Public Schools," 49,368 "," 50,689 ",2.68% ," 52,258 ",3.09% ,,,,,
035,Giles County Public Schools," 38,762 "," 40,759 ",5.15% ," 41,113 ",0.87% ,,,,,
036,Gloucester County Public Schools," 48,942 "," 49,567 ",1.28% ," 49,141 ",(0.86%),,,,,
037,Goochland County Public Schools," 45,314 "," 48,187 ",6.34% ," 49,032 ",1.75% ,,,,,
038,Grayson County Public Schools," 36,427 "," 37,245 ",2.25% ," 48,517 ",30.27% ,,,,,
039,Greene County Public Schools," 44,158 "," 44,856 ",1.58% ," 48,504 ",8.13% ,,,,,
040,Greensville County Public Schools3," 43,966 "," 46,397 ",5.53% ," 48,514 ",4.56% ,,,,,
041,Halifax County Public Schools," 47,241 "," 38,883 ",(17.69%)," 48,367 ",24.39% ,,,,,
042,Hanover County Public Schools," 48,557 "," 48,334 ",(0.46%)," 48,444 ",0.23% ,,,,,
043,Henrico County Public Schools," 50,594 "," 50,428 ",(0.33%)," 50,428 ",(0.00%),,,,,
044,Henry County Public Schools," 44,655 "," 44,957 ",0.68% ," 44,143 ",(1.81%),,,,,
045,Highland County Public Schools," 45,120 "," 46,255 ",2.52% ," 49,162 ",6.29% ,,,,,
046,Isle Of Wight County Public Schools," 54,556 "," 54,956 ",0.73% ," 54,621 ",(0.61%),,,,,
048,King George County Public Schools," 45,465 "," 47,457 ",4.38% ," 47,570 ",0.24% ,,,,,
049,King And Queen County Public Schools," 47,437 "," 47,586 ",0.31% ," 47,820 ",0.49% ,,,,,
050,King William County Public Schools," 44,817 "," 48,618 ",8.48% ," 50,261 ",3.38% ,,,,,
051,Lancaster County Public Schools," 44,682 "," 47,480 ",6.26% ," 45,910 ",(3.31%),,,,,
052,Lee County Public Schools," 38,138 "," 39,243 ",2.90% ," 42,049 ",7.15% ,,,,,
053,Loudoun County Public Schools," 60,798 "," 61,485 ",1.13% ," 61,206 ",(0.45%),,,,,
054,Louisa County Public Schools," 47,144 "," 48,671 ",3.24% ," 50,457 ",3.67% ,,,,,
055,Lunenburg County Public Schools," 44,865 "," 44,401 ",(1.03%)," 45,579 ",2.65% ,,,,,
056,Madison County Public Schools," 44,429 "," 44,490 ",0.14% ," 44,601 ",0.25% ,,,,,
057,Mathews County Public Schools," 43,168 "," 44,931 ",4.08% ," 46,054 ",2.50% ,,,,,
058,Mecklenburg County Public Schools," 43,010 "," 43,750 ",1.72% ," 43,691 ",(0.14%),,,,,
059,Middlesex County Public Schools," 43,217 "," 43,881 ",1.54% ," 41,539 ",(5.34%),,,,,
060,Montgomery County Public Schools," 45,504 "," 47,338 ",4.03% ," 48,645 ",2.76% ,,,,,
062,Nelson County Public Schools," 48,124 "," 50,967 ",5.91% ," 50,824 ",(0.28%),,,,,
063,New Kent County Public Schools," 45,079 "," 46,996 ",4.25% ," 46,415 ",(1.24%),,,,,
065,Northampton County Public Schools," 37,823 "," 41,427 ",9.53% ," 41,077 ",(0.84%),,,,,
066,Northumberland County Public Schools," 47,221 "," 48,024 ",1.70% ," 47,831 ",(0.40%),,,,,
067,Nottoway County Public Schools," 47,575 "," 47,793 ",0.46% ," 47,354 ",(0.92%),,,,,
068,Orange County Public Schools," 48,980 "," 47,465 ",(3.09%)," 48,540 ",2.27% ,,,,,
069,Page County Public Schools," 42,983 "," 43,358 ",0.87% ," 48,855 ",12.68% ,,,,,
070,Patrick County Public Schools," 42,543 "," 42,447 ",(0.22%)," 44,213 ",4.16% ,,,,,
071,Pittsylvania County Public Schools," 42,260 "," 40,865 ",(3.30%)," 41,428 ",1.38% ,,,,,
072,Powhatan County Public Schools," 49,789 "," 51,846 ",4.13% ," 51,631 ",(0.41%),,,,,
073,Prince Edward County Public Schools," 45,389 "," 42,916 ",(5.45%)," 45,088 ",5.06% ,,,,,
074,Prince George County Public Schools," 49,469 "," 51,816 ",4.74% ," 53,551 ",3.35% ,,,,,
075,Prince William County Public Schools," 61,863 "," 62,046 ",0.30% ," 57,552 ",(7.24%),,,,,
077,Pulaski County Public Schools," 43,784 "," 45,209 ",3.25% ," 44,030 ",(2.61%),,,,,
078,Rappahannock County Public Schools," 49,343 "," 51,519 ",4.41% ," 47,529 ",(7.74%),,,,,
079,Richmond County Public Schools," 49,492 "," 49,185 ",(0.62%)," 47,117 ",(4.20%),,,,,
080,Roanoke County Public Schools," 50,886 "," 49,968 ",(1.80%)," 56,517 ",13.11% ,,,,,
081,Rockbridge County Public Schools," 47,363 "," 45,971 ",(2.94%)," 47,037 ",2.32% ,,,,,
082,Rockingham County Public Schools," 46,585 "," 47,503 ",1.97% ," 50,062 ",5.39% ,,,,,
083,Russell County Public Schools," 37,116 "," 38,804 ",4.55% ," 39,391 ",1.51% ,,,,,
084,Scott County Public Schools," 47,555 "," 45,962 ",(3.35%)," 44,358 ",(3.49%),,,,,
085,Shenandoah County Public Schools," 46,751 "," 46,694 ",(0.12%)," 51,032 ",9.29% ,,,,,
086,Smyth County Public Schools," 44,590 "," 43,259 ",(2.98%)," 43,383 ",0.29% ,,,,,
087,Southampton County Public Schools," 43,509 "," 43,171 ",(0.78%)," 46,177 ",6.96% ,,,,,
088,Spotsylvania County Public Schools," 53,725 "," 53,178 ",(1.02%)," 49,364 ",(7.17%),,,,,
089,Stafford County Public Schools," 50,864 "," 53,031 ",4.26% ," 51,227 ",(3.40%),,,,,
090,Surry County Public Schools," 50,813 "," 50,198 ",(1.21%)," 51,872 ",3.33% ,,,,,
091,Sussex County Public Schools," 51,839 "," 52,978 ",2.20% ," 52,829 ",(0.28%),,,,,
092,Tazewell County Public Schools," 42,062 "," 38,762 ",(7.85%)," 45,759 ",18.05% ,,,,,
093,Warren County Public Schools," 48,241 "," 47,916 ",(0.67%)," 46,922 ",(2.08%),,,,,
094,Washington County Public Schools," 47,059 "," 47,414 ",0.75% ," 47,357 ",(0.12%),,,,,
095,Westmoreland County Public Schools," 44,363 "," 44,675 ",0.70% ," 44,662 ",(0.03%),,,,,
096,Wise County Public Schools," 45,692 "," 49,693 ",8.76% ," 46,125 ",(7.18%),,,,,
