Virginia Department of Education,,,,,,,,,
2011-2012 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2010 
Actual Average Teacher Salary","FY 2011 
Actual Average Teacher Salary",FY 2010 to FY 2011 Percent Increase/ (Decrease),"FY 2012 
Budgeted Average Teacher Salary",FY 2011 to FY 2012 Percent Increase/ (Decrease),,,
,,,,,,,,,
School Divisions,,,,,,,,,
Counties,,,,,,,,,
001,Accomack County Public Schools," 39,299 "," 38,600 ",(1.78%)," 39,034 ",1.13% ,,,
002,Albemarle County Public Schools," 51,960 "," 51,512 ",(0.86%)," 52,378 ",1.68% ,,,
003,Alleghany County Public Schools," 46,646 "," 47,114 ",1.00% ," 47,440 ",0.69% ,,,
004,Amelia County Public Schools," 46,410 "," 44,762 ",(3.55%)," 46,022 ",2.81% ,,,
005,Amherst County Public Schools," 44,280 "," 43,684 ",(1.34%)," 43,470 ",(0.49%),,,
006,Appomattox County Public Schools," 39,870 "," 41,177 ",3.28% ," 39,023 ",(5.23%),,,
007,Arlington County Public Schools," 69,737 "," 68,979 ",(1.09%)," 69,904 ",1.34% ,,,
008,Augusta County Public Schools," 45,001 "," 43,692 ",(2.91%)," 43,238 ",(1.04%),,,
009,Bath County Public Schools," 42,076 "," 41,715 ",(0.86%)," 41,839 ",0.30% ,,,
010,Bedford County Public Schools1," 40,874 "," 41,023 ",0.37% ," 40,562 ",(1.12%),,,
011,Bland County Public Schools," 42,763 "," 41,583 ",(2.76%)," 40,242 ",(3.22%),,,
012,Botetourt County Public Schools," 49,001 "," 48,130 ",(1.78%)," 48,174 ",0.09% ,,,
013,Brunswick County Public Schools," 40,105 "," 39,216 ",(2.22%)," 39,455 ",0.61% ,,,
014,Buchanan County Public Schools," 43,017 "," 39,532 ",(8.10%)," 41,455 ",4.86% ,,,
015,Buckingham County Public Schools," 43,448 "," 42,426 ",(2.35%)," 40,125 ",(5.42%),,,
016,Campbell County Public Schools," 43,376 "," 41,605 ",(4.08%)," 42,302 ",1.68% ,,,
017,Caroline County Public Schools," 44,624 "," 42,473 ",(4.82%)," 48,718 ",14.70% ,,,
018,Carroll County Public Schools," 40,933 "," 42,371 ",3.51% ," 40,452 ",(4.53%),,,
019,Charles City County Public Schools," 41,117 "," 40,379 ",(1.79%)," 39,060 ",(3.27%),,,
020,Charlotte County Public Schools," 41,261 "," 41,092 ",(0.41%)," 44,218 ",7.61% ,,,
021,Chesterfield County Public Schools," 49,352 "," 48,233 ",(2.27%)," 46,486 ",(3.62%),,,
022,Clarke County Public Schools," 48,114 "," 47,771 ",(0.71%)," 47,403 ",(0.77%),,,
023,Craig County Public Schools," 43,168 "," 40,557 ",(6.05%)," 44,134 ",8.82% ,,,
024,Culpeper County Public Schools," 48,122 "," 45,811 ",(4.80%)," 46,933 ",2.45% ,,,
025,Cumberland County Public Schools," 41,417 "," 42,935 ",3.67% ," 51,330 ",19.55% ,,,
026,Dickenson County Public Schools," 40,725 "," 41,776 ",2.58% ," 41,670 ",(0.25%),,,
027,Dinwiddie County Public Schools," 46,591 "," 46,594 ",0.01% ," 42,906 ",(7.92%),,,
028,Essex County Public Schools," 45,581 "," 46,262 ",1.50% ," 42,886 ",(7.30%),,,
029,Fairfax County Public Schools2," 63,853 "," 62,074 ",(2.79%)," 64,174 ",3.38% ,,,
030,Fauquier County Public Schools," 57,068 "," 54,615 ",(4.30%)," 51,011 ",(6.60%),,,
031,Floyd County Public Schools," 42,851 "," 42,772 ",(0.18%)," 39,268 ",(8.19%),,,
032,Fluvanna County Public Schools," 53,144 "," 50,822 ",(4.37%)," 49,806 ",(2.00%),,,
033,Franklin County Public Schools," 44,732 "," 43,314 ",(3.17%)," 43,266 ",(0.11%),,,
034,Frederick County Public Schools," 47,830 "," 47,672 ",(0.33%)," 47,719 ",0.10% ,,,
035,Giles County Public Schools," 41,064 "," 39,458 ",(3.91%)," 39,930 ",1.20% ,,,
036,Gloucester County Public Schools," 46,758 "," 46,306 ",(0.97%)," 46,655 ",0.75% ,,,
037,Goochland County Public Schools," 46,690 "," 43,196 ",(7.48%)," 42,873 ",(0.75%),,,
038,Grayson County Public Schools," 36,396 "," 35,744 ",(1.79%)," 40,315 ",12.79% ,,,
039,Greene County Public Schools," 44,178 "," 44,099 ",(0.18%)," 45,408 ",2.97% ,,,
040,Greensville County Public Schools3," 45,537 "," 45,179 ",(0.79%)," 46,473 ",2.87% ,,,
041,Halifax County Public Schools," 39,185 "," 38,660 ",(1.34%)," 37,952 ",(1.83%),,,
042,Hanover County Public Schools," 47,030 "," 47,103 ",0.15% ," 47,870 ",1.63% ,,,
043,Henrico County Public Schools," 50,046 "," 48,827 ",(2.44%)," 50,044 ",2.49% ,,,
044,Henry County Public Schools," 40,748 "," 42,518 ",4.34% ," 39,219 ",(7.76%),,,
045,Highland County Public Schools," 43,976 "," 44,056 ",0.18% ," 43,752 ",(0.69%),,,
046,Isle Of Wight County Public Schools," 51,404 "," 51,959 ",1.08% ," 53,312 ",2.60% ,,,
048,King George County Public Schools," 48,051 "," 50,361 ",4.81% ," 51,005 ",1.28% ,,,
049,King And Queen County Public Schools," 43,977 "," 45,994 ",4.59% ," 52,103 ",13.28% ,,,
050,King William County Public Schools," 45,889 "," 46,105 ",0.47% ," 46,457 ",0.76% ,,,
051,Lancaster County Public Schools," 42,566 "," 43,432 ",2.04% ," 44,527 ",2.52% ,,,
052,Lee County Public Schools," 44,334 ", Data not submitted by division. ,,,,,,
053,Loudoun County Public Schools," 59,738 "," 59,237 ",(0.84%)," 61,309 ",3.50% ,,,
054,Louisa County Public Schools," 48,009 "," 47,014 ",(2.07%)," 47,915 ",1.92% ,,,
055,Lunenburg County Public Schools," 40,879 "," 40,003 ",(2.14%)," 40,839 ",2.09% ,,,
056,Madison County Public Schools," 43,269 "," 42,745 ",(1.21%)," 41,891 ",(2.00%),,,
057,Mathews County Public Schools," 38,385 "," 39,857 ",3.84% ," 39,441 ",(1.04%),,,
058,Mecklenburg County Public Schools," 42,469 "," 41,481 ",(2.33%)," 41,707 ",0.55% ,,,
059,Middlesex County Public Schools," 42,609 "," 41,103 ",(3.53%)," 40,682 ",(1.02%),,,
060,Montgomery County Public Schools," 46,414 "," 45,999 ",(0.90%)," 46,045 ",0.10% ,,,
062,Nelson County Public Schools," 47,646 "," 47,643 ",(0.01%)," 46,751 ",(1.87%),,,
063,New Kent County Public Schools," 44,630 "," 44,629 ",(0.00%)," 44,067 ",(1.26%),,,
065,Northampton County Public Schools," 40,391 "," 41,666 ",3.16% ," 39,358 ",(5.54%),,,
066,Northumberland County Public Schools," 47,824 "," 46,290 ",(3.21%)," 48,841 ",5.51% ,,,
067,Nottoway County Public Schools," 45,489 "," 42,625 ",(6.30%)," 41,337 ",(3.02%),,,
068,Orange County Public Schools," 43,186 "," 45,185 ",4.63% ," 43,699 ",(3.29%),,,
069,Page County Public Schools," 42,678 "," 41,177 ",(3.52%)," 39,892 ",(3.12%),,,
070,Patrick County Public Schools," 41,178 "," 40,534 ",(1.56%)," 41,629 ",2.70% ,,,
071,Pittsylvania County Public Schools," 42,549 "," 41,567 ",(2.31%)," 41,754 ",0.45% ,,,
072,Powhatan County Public Schools," 47,228 "," 47,508 ",0.59% ," 45,987 ",(3.20%),,,
073,Prince Edward County Public Schools," 43,587 "," 40,675 ",(6.68%)," 47,379 ",16.48% ,,,
074,Prince George County Public Schools," 49,968 "," 49,834 ",(0.27%)," 50,392 ",1.12% ,,,
075,Prince William County Public Schools," 62,064 "," 60,993 ",(1.72%)," 59,045 ",(3.19%),,,
077,Pulaski County Public Schools," 41,567 "," 42,757 ",2.86% ," 41,084 ",(3.91%),,,
078,Rappahannock County Public Schools," 47,454 "," 47,393 ",(0.13%)," 44,020 ",(7.12%),,,
079,Richmond County Public Schools," 47,484 "," 48,277 ",1.67% ," 46,176 ",(4.35%),,,
080,Roanoke County Public Schools," 48,656 "," 48,712 ",0.12% ," 47,647 ",(2.19%),,,
081,Rockbridge County Public Schools," 45,084 "," 46,535 ",3.22% ," 47,814 ",2.75% ,,,
082,Rockingham County Public Schools," 45,363 "," 44,452 ",(2.01%)," 44,580 ",0.29% ,,,
083,Russell County Public Schools," 39,030 "," 38,884 ",(0.37%)," 39,388 ",1.30% ,,,
084,Scott County Public Schools," 44,267 "," 45,500 ",2.79% ," 46,638 ",2.50% ,,,
085,Shenandoah County Public Schools," 44,790 "," 45,115 ",0.73% ," 44,441 ",(1.49%),,,
086,Smyth County Public Schools," 43,483 "," 43,453 ",(0.07%)," 41,887 ",(3.60%),,,
087,Southampton County Public Schools," 44,069 "," 43,537 ",(1.21%)," 44,699 ",2.67% ,,,
088,Spotsylvania County Public Schools," 51,964 "," 51,491 ",(0.91%)," 51,498 ",0.01% ,,,
089,Stafford County Public Schools," 52,591 "," 53,241 ",1.24% ," 53,947 ",1.33% ,,,
090,Surry County Public Schools," 47,439 "," 47,645 ",0.43% ," 45,540 ",(4.42%),,,
091,Sussex County Public Schools," 49,077 "," 49,262 ",0.38% ," 47,527 ",(3.52%),,,
092,Tazewell County Public Schools," 44,508 "," 43,660 ",(1.91%)," 40,567 ",(7.08%),,,
093,Warren County Public Schools," 47,500 "," 45,960 ",(3.24%)," 39,861 ",(13.27%),,,
094,Washington County Public Schools," 44,515 "," 44,484 ",(0.07%)," 44,548 ",0.14% ,,,
095,Westmoreland County Public Schools," 42,170 "," 42,212 ",0.10% ," 43,392 ",2.80% ,,,
096,Wise County Public Schools," 49,268 "," 47,742 ",(3.10%)," 39,422 ",(17.43%),,,
097,Wythe County Public Schools," 44,331 "," 43,160 ",(2.64%)," 46,674 ",8.14% ,,,
098,York County Public Schools," 49,341 "," 48,831 ",(1.03%)," 48,985 ",0.32% ,,,
Cities,,,,,,,,,
101,Alexandria City Public Schools," 67,239 "," 70,183 ",4.38% ," 67,747 ",(3.47%),,,
102,Bristol City Public Schools," 44,864 "," 42,672 ",(4.89%)," 44,327 ",3.88% ,,,
