Virginia Department of Education,,,,,,,,,
2007-2008 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2006 
Actual Average Teacher Salary","FY 2007
Actual Average Teacher Salary",FY 2006 to FY 2007 Percent Increase/ (Decrease),"FY 2008 
Budgeted Average Teacher Salary",FY 2007 to FY 2008 Percent Increase/ (Decrease),,,
School Divisions,,,,,,,,,
Counties,,,,,,,,,
001,Accomack County Public Schools," 39,131 "," 39,973 ",2.15% ," 40,991 ",2.55% ,,,
002,Albemarle County Public Schools," 47,688 "," 49,580 ",3.97% ," 52,427 ",5.74% ,,,
003,Alleghany County Public Schools," 43,123 "," 44,095 ",2.26% ," 47,064 ",6.73% ,,,
004,Amelia County Public Schools," 30,446 "," 40,442 ",32.83% ," 39,830 ",(1.51%),,,
005,Amherst County Public Schools," 39,705 "," 41,935 ",5.62% ," 45,001 ",7.31% ,,,
006,Appomattox County Public Schools," 37,296 "," 38,755 ",3.91% ," 40,551 ",4.63% ,,,
007,Arlington County Public Schools," 65,790 "," 64,447 ",(2.04%)," 65,293 ",1.31% ,,,
008,Augusta County Public Schools," 41,286 "," 43,075 ",4.33% ," 43,472 ",0.92% ,,,
009,Bath County Public Schools," 41,562 "," 42,259 ",1.68% ," 35,628 ",(15.69%),,,
010,Bedford County Public Schools1," 37,300 "," 39,694 ",6.42% ," 41,731 ",5.13% ,,,
011,Bland County Public Schools," 35,402 "," 37,863 ",6.95% ," 32,654 ",(13.76%),,,
012,Botetourt County Public Schools," 45,390 "," 46,561 ",2.58% ," 47,815 ",2.69% ,,,
013,Brunswick County Public Schools," 38,261 "," 37,843 ",(1.09%)," 41,036 ",8.44% ,,,
014,Buchanan County Public Schools," 37,151 "," 38,686 ",4.13% ," 42,172 ",9.01% ,,,
015,Buckingham County Public Schools," 37,526 "," 39,827 ",6.13% ," 40,883 ",2.65% ,,,
016,Campbell County Public Schools," 39,663 "," 41,324 ",4.19% ," 42,258 ",2.26% ,,,
017,Caroline County Public Schools," 41,935 "," 43,807 ",4.46% ," 46,381 ",5.88% ,,,
018,Carroll County Public Schools," 36,885 "," 37,024 ",0.38% ," 37,875 ",2.30% ,,,
019,Charles City County Public Schools," 39,530 "," 40,530 ",2.53% ," 42,615 ",5.14% ,,,
020,Charlotte County Public Schools," 39,042 "," 40,530 ",3.81% ," 41,412 ",2.18% ,,,
021,Chesterfield County Public Schools," 44,417 "," 46,486 ",4.66% ," 48,571 ",4.49% ,,,
022,Clarke County Public Schools5," 45,817 "," 46,433 ",1.34% ," 43,543 ",(6.22%),,,
023,Craig County Public Schools," 40,621 "," 43,279 ",6.54% ," 42,908 ",(0.86%),,,
024,Culpeper County Public Schools," 41,405 "," 44,565 ",7.63% ," 48,896 ",9.72% ,,,
025,Cumberland County Public Schools," 39,380 "," 39,714 ",0.85% ," 39,493 ",(0.56%),,,
026,Dickenson County Public Schools," 35,742 "," 37,146 ",3.93% ," 39,068 ",5.18% ,,,
027,Dinwiddie County Public Schools," 42,866 "," 44,461 ",3.72% ," 41,975 ",(5.59%),,,
028,Essex County Public Schools," 42,583 "," 44,821 ",5.26% ," 45,088 ",0.59% ,,,
029,Fairfax County Public Schools2," 58,389 "," 60,593 ",3.77% ," 63,550 ",4.88% ,,,
030,Fauquier County Public Schools," 49,595 "," 53,055 ",6.98% ," 57,067 ",7.56% ,,,
031,Floyd County Public Schools," 39,871 "," 41,891 ",5.07% ," 42,493 ",1.44% ,,,
032,Fluvanna County Public Schools," 46,405 "," 49,313 ",6.27% ," 51,593 ",4.62% ,,,
033,Franklin County Public Schools, Data not submitted by school division , Data not submitted by school division ,,,,,,
034,Frederick County Public Schools," 42,960 "," 45,481 ",5.87% ," 46,174 ",1.52% ,,,
035,Giles County Public Schools," 38,871 "," 39,804 ",2.40% ," 39,889 ",0.21% ,,,
036,Gloucester County Public Schools," 42,925 "," 44,543 ",3.77% ," 46,315 ",3.98% ,,,
037,Goochland County Public Schools," 41,778 "," 42,544 ",1.83% ," 45,711 ",7.44% ,,,
038,Grayson County Public Schools," 34,470 "," 36,708 ",6.49% ," 40,953 ",11.56% ,,,
039,Greene County Public Schools," 37,478 "," 39,212 ",4.63% ," 40,765 ",3.96% ,,,
040,Greensville County Public Schools3," 42,113 "," 42,103 ",(0.02%)," 43,456 ",3.21% ,,,
041,Halifax County Public Schools," 38,104 "," 39,665 ",4.10% ," 40,785 ",2.82% ,,,
042,Hanover County Public Schools," 42,733 "," 44,609 ",4.39% ," 46,192 ",3.55% ,,,
043,Henrico County Public Schools," 45,085 "," 46,833 ",3.88% ," 45,819 ",(2.17%),,,
044,Henry County Public Schools," 37,720 "," 38,302 ",1.54% ," 39,153 ",2.22% ,,,
045,Highland County Public Schools," 37,795 "," 41,206 ",9.03% ," 41,509 ",0.74% ,,,
046,Isle Of Wight County Public Schools," 41,298 "," 45,989 ",11.36% ," 47,425 ",3.12% ,,,
048,King George County Public Schools," 42,217 "," 44,936 ",6.44% ," 47,714 ",6.18% ,,,
049,King And Queen County Public Schools," 38,803 "," 40,744 ",5.00% ," 42,061 ",3.23% ,,,
050,King William County Public Schools," 42,664 "," 42,471 ",(0.45%)," 43,442 ",2.29% ,,,
051,Lancaster County Public Schools," 39,156 "," 42,559 ",8.69% ," 41,459 ",(2.58%),,,
052,Lee County Public Schools," 40,620 "," 41,701 ",2.66% ," 42,907 ",2.89% ,,,
053,Loudoun County Public Schools," 59,819 "," 60,476 ",1.10% ," 61,293 ",1.35% ,,,
054,Louisa County Public Schools," 39,010 "," 47,347 ",21.37% ," 49,456 ",4.46% ,,,
055,Lunenburg County Public Schools," 40,309 "," 42,647 ",5.80% ," 40,361 ",(5.36%),,,
056,Madison County Public Schools," 40,495 "," 42,577 ",5.14% ," 44,706 ",5.00% ,,,
057,Mathews County Public Schools," 38,693 "," 41,041 ",6.07% ," 43,823 ",6.78% ,,,
058,Mecklenburg County Public Schools," 38,429 "," 40,432 ",5.21% ," 41,255 ",2.03% ,,,
059,Middlesex County Public Schools," 37,404 "," 38,979 ",4.21% ," 38,498 ",(1.23%),,,
060,Montgomery County Public Schools," 40,330 "," 42,182 ",4.59% ," 43,628 ",3.43% ,,,
062,Nelson County Public Schools," 40,848 "," 42,627 ",4.35% ," 44,560 ",4.54% ,,,
063,New Kent County Public Schools," 39,887 "," 41,188 ",3.26% ," 42,681 ",3.63% ,,,
065,Northampton County Public Schools," 39,429 "," 42,670 ",8.22% ," 42,184 ",(1.14%),,,
066,Northumberland County Public Schools," 44,365 "," 46,644 ",5.14% ," 46,683 ",0.08% ,,,
067,Nottoway County Public Schools," 40,033 "," 39,961 ",(0.18%)," 38,668 ",(3.24%),,,
068,Orange County Public Schools," 41,882 "," 43,133 ",2.99% ," 41,644 ",(3.45%),,,
069,Page County Public Schools," 40,043 "," 41,602 ",3.89% ," 42,403 ",1.93% ,,,
070,Patrick County Public Schools," 38,081 "," 39,783 ",4.47% ," 41,193 ",3.54% ,,,
071,Pittsylvania County Public Schools," 38,968 "," 41,202 ",5.73% ," 42,276 ",2.61% ,,,
072,Powhatan County Public Schools," 41,523 "," 45,078 ",8.56% ," 48,114 ",6.73% ,,,
073,Prince Edward County Public Schools," 41,459 "," 42,599 ",2.75% ," 44,107 ",3.54% ,,,
074,Prince George County Public Schools," 44,529 "," 45,720 ",2.67% ," 46,642 ",2.02% ,,,
075,Prince William County Public Schools," 54,915 "," 58,351 ",6.26% ," 52,817 ",(9.48%),,,
077,Pulaski County Public Schools," 37,701 "," 38,890 ",3.15% ," 40,290 ",3.60% ,,,
078,Rappahannock County Public Schools," 43,373 "," 43,490 ",0.27% ," 45,370 ",4.32% ,,,
