Virginia Department of Education,,,,,,,,,
2012-2013 Salary Survey - Teachers,,,,,,,,,
Classroom Teacher Salary Survey (Including Librarians and Guidance Counselors),,,,,,,,,
,,,,,,,,,
Division,Name,"FY 2011 
Actual Average Teacher Salary","FY 2012 
Actual Average Teacher Salary",FY 2011 to FY 2012 Percent Increase/ (Decrease),"FY 2013 
Budgeted Average Teacher Salary",FY 2012 to FY 2013 Percent Increase/ (Decrease),,,
,,,,,,,,,
School Divisions,,,,,,,,,
Counties,,,,,,,,,
001,Accomack County Public Schools," 38,600 "," 38,727 ",0.33% ," 38,862 ",0.35% ,,,
002,Albemarle County Public Schools," 51,512 "," 50,959 ",(1.07%)," 54,543 ",7.03% ,,,
003,Alleghany County Public Schools," 47,114 "," 47,184 ",0.15% ," 47,661 ",1.01% ,,,
004,Amelia County Public Schools," 44,762 "," 45,581 ",1.83% ," 47,403 ",4.00% ,,,
005,Amherst County Public Schools," 43,684 "," 43,609 ",(0.17%)," 45,799 ",5.02% ,,,
006,Appomattox County Public Schools," 41,177 "," 40,133 ",(2.54%)," 45,131 ",12.45% ,,,
007,Arlington County Public Schools," 68,979 "," 69,185 ",0.30% ," 74,425 ",7.57% ,,,
008,Augusta County Public Schools," 43,692 "," 43,669 ",(0.05%)," 43,119 ",(1.26%),,,
009,Bath County Public Schools," 41,715 "," 43,288 ",3.77% ," 46,905 ",8.35% ,,,
010,Bedford County Public Schools1," 41,023 "," 41,599 ",1.40% ," 41,391 ",(0.50%),,,
011,Bland County Public Schools," 41,583 "," 42,225 ",1.54% ," 41,153 ",(2.54%),,,
012,Botetourt County Public Schools," 48,130 "," 47,622 ",(1.05%)," 44,771 ",(5.99%),,,
013,Brunswick County Public Schools," 39,216 "," 39,404 ",0.48% ," 41,306 ",4.83% ,,,
014,Buchanan County Public Schools," 39,532 "," 40,044 ",1.30% ," 33,927 ",(15.28%),,,
015,Buckingham County Public Schools," 42,426 "," 40,797 ",(3.84%)," 44,544 ",9.19% ,,,
016,Campbell County Public Schools," 41,605 "," 40,884 ",(1.73%)," 41,733 ",2.08% ,,,
017,Caroline County Public Schools," 42,473 "," 42,523 ",0.12% ," 45,820 ",7.75% ,,,
018,Carroll County Public Schools," 42,371 "," 40,442 ",(4.55%)," 41,238 ",1.97% ,,,
019,Charles City County Public Schools," 40,379 "," 40,408 ",0.07% ," 43,068 ",6.58% ,,,
020,Charlotte County Public Schools," 41,092 "," 41,057 ",(0.09%)," 48,717 ",18.66% ,,,
021,Chesterfield County Public Schools," 48,233 "," 47,273 ",(1.99%)," 47,256 ",(0.04%),,,
022,Clarke County Public Schools," 47,771 "," 46,852 ",(1.92%)," 50,692 ",8.20% ,,,
023,Craig County Public Schools," 40,557 "," 41,442 ",2.18% ," 43,660 ",5.35% ,,,
024,Culpeper County Public Schools," 45,811 "," 47,252 ",3.15% ," 48,562 ",2.77% ,,,
025,Cumberland County Public Schools," 42,935 "," 44,634 ",3.96% ," 42,770 ",(4.18%),,,
026,Dickenson County Public Schools," 41,776 "," 42,123 ",0.83% ," 42,268 ",0.34% ,,,
027,Dinwiddie County Public Schools," 46,594 "," 45,107 ",(3.19%)," 42,912 ",(4.87%),,,
028,Essex County Public Schools," 46,262 "," 45,899 ",(0.79%)," 42,888 ",(6.56%),,,
029,Fairfax County Public Schools2," 62,074 "," 63,203 ",1.82% ," 61,035 ",(3.43%),,,
030,Fauquier County Public Schools," 54,615 "," 54,975 ",0.66% ," 52,224 ",(5.00%),,,
031,Floyd County Public Schools," 42,772 "," 42,542 ",(0.54%)," 42,580 ",0.09% ,,,
032,Fluvanna County Public Schools," 50,822 "," 50,376 ",(0.88%)," 50,570 ",0.38% ,,,
033,Franklin County Public Schools," 43,314 "," 43,895 ",1.34% ," 44,399 ",1.15% ,,,
034,Frederick County Public Schools," 47,672 "," 47,490 ",(0.38%)," 49,825 ",4.92% ,,,
035,Giles County Public Schools," 39,458 "," 38,340 ",(2.83%)," 37,325 ",(2.65%),,,
036,Gloucester County Public Schools," 46,306 "," 46,108 ",(0.43%)," 49,800 ",8.01% ,,,
037,Goochland County Public Schools," 43,196 "," 43,212 ",0.04% ," 44,212 ",2.32% ,,,
038,Grayson County Public Schools," 35,744 "," 36,507 ",2.13% ," 40,503 ",10.95% ,,,
039,Greene County Public Schools," 44,099 "," 44,959 ",1.95% ," 45,079 ",0.27% ,,,
040,Greensville County Public Schools3," 45,179 "," 44,913 ",(0.59%)," 45,690 ",1.73% ,,,
041,Halifax County Public Schools," 38,660 "," 41,869 ",8.30% ," 40,157 ",(4.09%),,,
042,Hanover County Public Schools," 47,103 "," 48,174 ",2.27% ," 51,081 ",6.04% ,,,
043,Henrico County Public Schools," 48,827 "," 51,723 ",5.93% ," 54,295 ",4.97% ,,,
044,Henry County Public Schools," 42,518 "," 43,860 ",3.16% ," 39,277 ",(10.45%),,,
045,Highland County Public Schools," 44,056 "," 43,734 ",(0.73%)," 43,305 ",(0.98%),,,
046,Isle Of Wight County Public Schools," 51,959 "," 53,025 ",2.05% ," 53,701 ",1.27% ,,,
048,King George County Public Schools," 50,361 "," 47,401 ",(5.88%)," 50,243 ",5.99% ,,,
049,King And Queen County Public Schools," 45,994 "," 48,784 ",6.07% ," 43,611 ",(10.60%),,,
050,King William County Public Schools," 46,105 "," 46,382 ",0.60% ," 45,915 ",(1.01%),,,
051,Lancaster County Public Schools," 43,432 "," 42,685 ",(1.72%)," 46,614 ",9.20% ,,,
052,Lee County Public Schools," 37,924 "," 40,343 ",6.38% ," 41,171 ",2.05% ,,,
053,Loudoun County Public Schools," 59,237 "," 60,646 ",2.38% ," 60,875 ",0.38% ,,,
054,Louisa County Public Schools," 47,014 "," 47,013 ",(0.00%)," 45,851 ",(2.47%),,,
055,Lunenburg County Public Schools," 40,003 "," 47,668 ",19.16% ," 39,601 ",(16.92%),,,
056,Madison County Public Schools," 42,745 "," 43,103 ",0.84% ," 45,005 ",4.41% ,,,
057,Mathews County Public Schools," 39,857 "," 40,404 ",1.37% ," 40,832 ",1.06% ,,,
058,Mecklenburg County Public Schools," 41,481 "," 48,805 ",17.66% ," 50,118 ",2.69% ,,,
059,Middlesex County Public Schools," 41,103 "," 42,099 ",2.42% ," 46,225 ",9.80% ,,,
060,Montgomery County Public Schools," 45,999 "," 46,297 ",0.65% ," 45,603 ",(1.50%),,,
062,Nelson County Public Schools," 47,643 "," 47,432 ",(0.44%)," 48,055 ",1.31% ,,,
063,New Kent County Public Schools," 44,629 "," 46,128 ",3.36% ," 42,932 ",(6.93%),,,
065,Northampton County Public Schools," 41,666 "," 36,962 ",(11.29%)," 39,389 ",6.57% ,,,
066,Northumberland County Public Schools," 46,290 "," 48,748 ",5.31% ," 50,750 ",4.11% ,,,
067,Nottoway County Public Schools," 42,625 "," 47,509 ",11.46% ," 46,914 ",(1.25%),,,
068,Orange County Public Schools," 45,185 "," 45,567 ",0.85% ," 46,954 ",3.04% ,,,
069,Page County Public Schools," 41,177 "," 41,014 ",(0.40%)," 44,560 ",8.65% ,,,
070,Patrick County Public Schools," 40,534 "," 41,441 ",2.24% ," 42,898 ",3.52% ,,,
071,Pittsylvania County Public Schools," 41,567 "," 41,076 ",(1.18%)," 41,233 ",0.38% ,,,
072,Powhatan County Public Schools," 47,508 "," 47,646 ",0.29% ," 49,234 ",3.33% ,,,
073,Prince Edward County Public Schools," 40,675 "," 44,127 ",8.49% ," 44,976 ",1.92% ,,,
074,Prince George County Public Schools," 49,834 "," 49,658 ",(0.35%)," 49,129 ",(1.07%),,,
075,Prince William County Public Schools," 60,993 "," 61,855 ",1.41% ," 55,710 ",(9.93%),,,
077,Pulaski County Public Schools," 42,757 "," 42,420 ",(0.79%)," 48,055 ",13.28% ,,,
078,Rappahannock County Public Schools," 47,393 "," 45,941 ",(3.06%)," 48,174 ",4.86% ,,,
079,Richmond County Public Schools," 48,277 "," 47,626 ",(1.35%)," 49,661 ",4.27% ,,,
080,Roanoke County Public Schools," 48,712 "," 48,267 ",(0.91%)," 50,629 ",4.90% ,,,
081,Rockbridge County Public Schools," 46,535 "," 45,216 ",(2.84%)," 48,305 ",6.83% ,,,
082,Rockingham County Public Schools," 44,452 "," 45,039 ",1.32% ," 45,434 ",0.88% ,,,
083,Russell County Public Schools," 38,884 "," 36,271 ",(6.72%)," 40,970 ",12.95% ,,,
084,Scott County Public Schools," 45,500 "," 45,582 ",0.18% ," 46,445 ",1.89% ,,,
085,Shenandoah County Public Schools," 45,115 "," 44,177 ",(2.08%)," 50,843 ",15.09% ,,,
086,Smyth County Public Schools," 43,453 "," 43,590 ",0.31% ," 41,869 ",(3.95%),,,
087,Southampton County Public Schools," 43,537 "," 44,012 ",1.09% ," 43,969 ",(0.10%),,,
088,Spotsylvania County Public Schools," 51,491 "," 51,373 ",(0.23%)," 51,616 ",0.47% ,,,
089,Stafford County Public Schools," 53,241 "," 53,038 ",(0.38%)," 52,198 ",(1.58%),,,
090,Surry County Public Schools," 47,645 "," 50,020 ",4.98% ," 41,224 ",(17.59%),,,
091,Sussex County Public Schools," 49,262 "," 51,080 ",3.69% ," 47,847 ",(6.33%),,,
092,Tazewell County Public Schools," 43,660 "," 42,846 ",(1.86%)," 39,039 ",(8.88%),,,
093,Warren County Public Schools," 45,960 "," 45,096 ",(1.88%)," 46,507 ",3.13% ,,,
094,Washington County Public Schools," 44,484 "," 44,205 ",(0.63%)," 47,806 ",8.15% ,,,
095,Westmoreland County Public Schools," 42,212 "," 41,794 ",(0.99%)," 43,269 ",3.53% ,,,
096,Wise County Public Schools," 47,742 "," 47,487 ",(0.53%)," 38,105 ",(19.76%),,,
097,Wythe County Public Schools," 43,160 "," 44,752 ",3.69% ," 48,071 ",7.42% ,,,
098,York County Public Schools," 48,831 "," 48,101 ",(1.50%)," 47,937 ",(0.34%),,,
Cities,,,,,,,,,
101,Alexandria City Public Schools," 70,183 "," 70,696 ",0.73% ," 74,330 ",5.14% ,,,
102,Bristol City Public Schools," 42,672 "," 45,342 ",6.26% ," 44,532 ",(1.79%),,,
